name,tweet text,tweet text (clean),label,token
🇮🇩Marulitua Purba🇮🇩,"@Cintada16 Kalau ada pekikan itu artiny sudah disusupi teroris, karwna saat teroris membantai selalu sebut kata itu",cintada kalau ada pekikan itu artiny sudah disusupi teroris karwna saat teroris membantai selalu sebut kata itu,0,"['cintada', 'kalau', 'ada', 'pekikan', 'itu', 'artiny', 'sudah', 'disusupi', 'teroris', 'karwna', 'saat', 'teroris', 'membantai', 'selalu', 'sebut', 'kata', 'itu']"
Leonard Han,@CANDUKEBELET @emerson_yuntho @MUIPusat jangan2 buat dana terorisme .... kan udah lama pengurusnya berkali2 ada yang ditangkap krn terlibat kegiatan2 teroris https://t.co/FTzv3n8PHP,candukebelet emerson yuntho muipusat jangan jangan buat dana terorisme kan sudah lama pengurusnya berkali ada yang ditangkap karena terlibat kegiatan teroris https t cowok ftzv n php,0,"['candukebelet', 'emerson', 'yuntho', 'muipusat', 'jangan', 'jangan', 'buat', 'dana', 'terorisme', 'kan', 'sudah', 'lama', 'pengurusnya', 'berkali', 'ada', 'yang', 'ditangkap', 'karena', 'terlibat', 'kegiatan', 'teroris', 'https', 't', 'cowok', 'ftzv', 'n', 'php']"
Jayadinata,@RyaWiedy Terlalu cetek utk seorang teroris!!!,ryawiedy terlalu cetek untuk seorang teroris,0,"['ryawiedy', 'terlalu', 'cetek', 'untuk', 'seorang', 'teroris']"
Tri Putri R.♥️🇮🇩,"Pengejaran aparat Densus 88 terhadap tersangka Teroris dr Sunardi menyibak fakta baru. Seorang saksi mata, (Joko) nama samaran menuturkan bahwa kejar mengejar antara petugas Densus88 dan tersangka Teroris dr Sunardi benar benar terjadi dan dramatis....

https://t.co/9TchVODjtj https://t.co/fCVAftdOfk",pengejaran aparat densus terhadap tersangka teroris dari sunardi menyibak fakta baru seorang saksi mata joko nama samaran menuturkan bahwa kejar mengejar antara petugas densus dan tersangka teroris dari sunardi benar benar terjadi dan dramatis https t cowok tchvodjtj https t cowok fcvaftdofk,0,"['pengejaran', 'aparat', 'densus', 'terhadap', 'tersangka', 'teroris', 'dari', 'sunardi', 'menyibak', 'fakta', 'baru', 'seorang', 'saksi', 'mata', 'joko', 'nama', 'samaran', 'menuturkan', 'bahwa', 'kejar', 'mengejar', 'antara', 'petugas', 'densus', 'dan', 'tersangka', 'teroris', 'dari', 'sunardi', 'benar', 'benar', 'terjadi', 'dan', 'dramatis', 'https', 't', 'cowok', 'tchvodjtj', 'https', 't', 'cowok', 'fcvaftdofk']"
Arnold Lie,@Speedtrap_ Eks teroris,speedtrap eks teroris,0,"['speedtrap', 'eks', 'teroris']"
Boy selor,@gemanawacita @MUIPusat @mohmahfudmd @YaqutCQoumas saya sangat setuju MUI itu dibubarkan biar tidak menjadi tempat berlindungnya HTI dan Teroris serta Radikalis,gemanawacita muipusat mohmahfudmd yaqutcqoumas saya sangat setuju mui itu dibubarkan biar tidak menjadi tempat berlindungnya hti dan teroris serta radikalis,0,"['gemanawacita', 'muipusat', 'mohmahfudmd', 'yaqutcqoumas', 'saya', 'sangat', 'setuju', 'mui', 'itu', 'dibubarkan', 'biar', 'tidak', 'menjadi', 'tempat', 'berlindungnya', 'hti', 'dan', 'teroris', 'serta', 'radikalis']"
"ngedabrus, king of lip service","@republikaonline Gmana ini pak @cholilnafis @MUIPusat apa mau dibiarkan saja org2 sprti ini dg leluasa melabeli ajaran islam sbg bibit terorisme?? Kl dibiarkan saja tanpa diambil tindakan bisa2 islam diseluruh dunia dicap sbg agama kekerasan, agama penghasil teroris",republikaonline bagaimana ini pak cholilnafis muipusat apa mau dibiarkan saja orang orang seperti ini dengan leluasa melabeli ajaran islam sebagai bibit terorisme kalo dibiarkan saja tanpa diambil tindakan bisa islam diseluruh dunia dicap sebagai agama kekerasan agama penghasil teroris,0,"['republikaonline', 'bagaimana', 'ini', 'pak', 'cholilnafis', 'muipusat', 'apa', 'mau', 'dibiarkan', 'saja', 'orang', 'orang', 'seperti', 'ini', 'dengan', 'leluasa', 'melabeli', 'ajaran', 'islam', 'sebagai', 'bibit', 'terorisme', 'kalo', 'dibiarkan', 'saja', 'tanpa', 'diambil', 'tindakan', 'bisa', 'islam', 'diseluruh', 'dunia', 'dicap', 'sebagai', 'agama', 'kekerasan', 'agama', 'penghasil', 'teroris']"
mata uang digital,kok murah amat vonis teroris curiga lobian tingkat tinggi nih harus ditelusuri #BebaskanMunarman,kok murah amat vonis teroris curiga lobian tingkat tinggi nih harus ditelusuri bebaskanmunarman,0,"['kok', 'murah', 'amat', 'vonis', 'teroris', 'curiga', 'lobian', 'tingkat', 'tinggi', 'nih', 'harus', 'ditelusuri', 'bebaskanmunarman']"
anak ustad,@impreatix teroris.,impreatix teroris,0,"['impreatix', 'teroris']"
KETTLER,@tonnypriatna86 @ekowboy2 Udah di susupin teroris,tonnypriatna ekowboy sudah di susupin teroris,0,"['tonnypriatna', 'ekowboy', 'sudah', 'di', 'susupin', 'teroris']"
mata uang digital,kok murah amat vonis teroris https://t.co/AW8PwIRONu,kok murah amat vonis teroris https t cowok aw pwironu,0,"['kok', 'murah', 'amat', 'vonis', 'teroris', 'https', 't', 'cowok', 'aw', 'pwironu']"
Drama King,"Ini bagus, apa yang diucapkan Yusuf adalah fakta. 

Novel ini dengan kata lain menyamakan teroris dengan umat Islam, sangat menyesatkan dan bisa menyakiti hati umat Islam. 

Kedua menunjukkan ada kemiripan pemahaman antara teroris dgn Novel karena dia akui teroris sbg umat Islam. https://t.co/bYZeT0yELL",ini bagus apa yang diucapkan yusuf adalah fakta novel ini dengan kata lain menyamakan teroris dengan umat islam sangat menyesatkan dan bisa menyakiti hati umat islam kedua menunjukkan ada kemiripan pemahaman antara teroris dengan novel karena dia akui teroris sebagai umat islam https t cowok byzet yel,1,"['ini', 'bagus', 'apa', 'yang', 'diucapkan', 'yusuf', 'adalah', 'fakta', 'novel', 'ini', 'dengan', 'kata', 'lain', 'menyamakan', 'teroris', 'dengan', 'umat', 'islam', 'sangat', 'menyesatkan', 'dan', 'bisa', 'menyakiti', 'hati', 'umat', 'islam', 'kedua', 'menunjukkan', 'ada', 'kemiripan', 'pemahaman', 'antara', 'teroris', 'dengan', 'novel', 'karena', 'dia', 'akui', 'teroris', 'sebagai', 'umat', 'islam', 'https', 't', 'cowok', 'byzet', 'yel']"
"Dr. DENIA, SE. MM. MA. M.han/MAWAR MERAH PUTIH","Saudara/Saudariku Sebangsa dan Setanah Air Indonesia.
Mari Kita Dukung  @DivHumas_Polri Densus 88 untuk membasmi semua Gerombolan Teroris yg hendak menghancurkan Negeri ini.
Kiranya ALLAH SWT melindungi anggota Polri ( Densus 88) agar selamat menjalankan Tugas mereka. 😇😘 https://t.co/9WCa3REgda",saudara saudariku sebangsa dan setanah air indonesia mari kita dukung divhumas polri densus untuk membasmi semua gerombolan teroris yang hendak menghancurkan negeri ini kiranya allah swt melindungi anggota polri densus agar selamat menjalankan tugas mereka wajah malaikat wajah memberikan ciuman jauh https t cowok wca regda,0,"['saudara', 'saudariku', 'sebangsa', 'dan', 'setanah', 'air', 'indonesia', 'mari', 'kita', 'dukung', 'divhumas', 'polri', 'densus', 'untuk', 'membasmi', 'semua', 'gerombolan', 'teroris', 'yang', 'hendak', 'menghancurkan', 'negeri', 'ini', 'kiranya', 'allah', 'swt', 'melindungi', 'anggota', 'polri', 'densus', 'agar', 'selamat', 'menjalankan', 'tugas', 'mereka', 'wajah', 'malaikat', 'wajah', 'memberikan', 'ciuman', 'jauh', 'https', 't', 'cowok', 'wca', 'regda']"
Fatur Wae,@RD_4WR1212 Katanya tindak tegas teroris  ..... Tapi vonisnya seperti maling ayam,rd wr katanya tindak tegas teroris tapi vonisnya seperti maling ayam,0,"['rd', 'wr', 'katanya', 'tindak', 'tegas', 'teroris', 'tapi', 'vonisnya', 'seperti', 'maling', 'ayam']"
Kenshin🍁KR™,"Bos Teroris cuma 8 tahun penjara ???

Bangsaatt!!!! 🔪

Cc :
@KejaksaanRI
#HukumMatiMunarman.
#HukumMatiPengkhianatRI https://t.co/Ftro7QbFXQ",bos teroris cuma tahun penjara bangsaat pisau dapur sih kejaksaanri hukummatimunarman hukummatipengkhianatri https t cowok ftro qbfxq,0,"['bos', 'teroris', 'cuma', 'tahun', 'penjara', 'bangsaat', 'pisau', 'dapur', 'sih', 'kejaksaanri', 'hukummatimunarman', 'hukummatipengkhianatri', 'https', 't', 'cowok', 'ftro', 'qbfxq']"
POSKOTA BANTEN,"Tembak Mati Tersangka Teroris dr Sunardi, Ahli Psikologi Forensik: Harusnya Densus 88 Anti Teror Dilengkapi Body Camera untuk Buktikan Lawful atau Unlwful Killing https://t.co/a5WTJ7cMlQ",tembak mati tersangka teroris dari sunardi ahli psikologi forensik harusnya densus anti teror dilengkapi body camera untuk buktikan lawful atau unlwful killing https t cowok a wtj cmlq,2,"['tembak', 'mati', 'tersangka', 'teroris', 'dari', 'sunardi', 'ahli', 'psikologi', 'forensik', 'harusnya', 'densus', 'anti', 'teror', 'dilengkapi', 'body', 'camera', 'untuk', 'buktikan', 'lawful', 'atau', 'unlwful', 'killing', 'https', 't', 'cowok', 'a', 'wtj', 'cmlq']"
Johan Christian Bire,@nuzularham @masceng_ @detikcom Ia guru lu teroris berdaulat ke isis di makassar,nuzularham masceng detikcom ia guru lu teroris berdaulat ke isis di makassar,0,"['nuzularham', 'masceng', 'detikcom', 'ia', 'guru', 'lu', 'teroris', 'berdaulat', 'ke', 'isis', 'di', 'makassar']"
Geolanda🇮🇩,@DiantoviaT @detikcom Terdeteksi bangian sel terroris,diantoviat detikcom terdeteksi bangian sel terroris,0,"['diantoviat', 'detikcom', 'terdeteksi', 'bangian', 'sel', 'terroris']"
Akun Cadangan,"@Rizmaya__ Aq dukung pembubaran densus 88..
Percuma mreka kerja klo hasilnya caci n maki bhkan vonis teroris yg ringan..",rizmaya aku dukung pembubaran densus percuma mereka kerja kalo hasilnya caci n maki bhkan vonis teroris yang ringan,0,"['rizmaya', 'aku', 'dukung', 'pembubaran', 'densus', 'percuma', 'mereka', 'kerja', 'kalo', 'hasilnya', 'caci', 'n', 'maki', 'bhkan', 'vonis', 'teroris', 'yang', 'ringan']"
aswin123,"@Rizmaya__ Padahal kejahatan nya sudah termasuk dalam kategori teroris (menghilangkan nyawa manusia), mungkin tunggu membunuh 200 orang kayak bom bali baru bisa dikasih hukuman mati..🥱😤",rizmaya padahal kejahatan nya sudah termasuk dalam kategori teroris menghilangkan nyawa manusia mungkin tunggu membunuh orang kayak bom bali baru bisa dikasih hukuman mati wajah menguap wajah bersungguh sungguh,0,"['rizmaya', 'padahal', 'kejahatan', 'nya', 'sudah', 'termasuk', 'dalam', 'kategori', 'teroris', 'menghilangkan', 'nyawa', 'manusia', 'mungkin', 'tunggu', 'membunuh', 'orang', 'kayak', 'bom', 'bali', 'baru', 'bisa', 'dikasih', 'hukuman', 'mati', 'wajah', 'menguap', 'wajah', 'bersungguh', 'sungguh']"
Geolanda🇮🇩,@aoeliaRF @tresaple @limkhokpheng @detikcom Terroris siap mati syangid.. Nangkapnya pake kulonuwun kah??? 🤭,aoeliarf tresaple limkhokpheng detikcom terroris siap mati syangid gkapnya pakai kulonuwun kah wajah dengan tangan menutup mulut,0,"['aoeliarf', 'tresaple', 'limkhokpheng', 'detikcom', 'terroris', 'siap', 'mati', 'syangid', 'gkapnya', 'pakai', 'kulonuwun', 'kah', 'wajah', 'dengan', 'tangan', 'menutup', 'mulut']"
ILAL MAULANA,"@republikaonline Kalau Semua pesantren teroris, tempat ibadah anda hancur ga sempet renov",republikaonline kalau semua pesantren teroris tempat ibadah anda hancur enggak sempat renov,0,"['republikaonline', 'kalau', 'semua', 'pesantren', 'teroris', 'tempat', 'ibadah', 'anda', 'hancur', 'enggak', 'sempat', 'renov']"
Pebby Mbot,"ayoo....yg pada mau protes ama  densus 88 soal dokter teroris,  sekalian deh..densus 88 maah siaaap💪 https://t.co/DoJesW6JrQ",ayo yang pada mau protes sama densus soal dokter teroris sekalian deh densus maah siaaap lengan berotot https t cowok dojesw jrq,0,"['ayo', 'yang', 'pada', 'mau', 'protes', 'sama', 'densus', 'soal', 'dokter', 'teroris', 'sekalian', 'deh', 'densus', 'maah', 'siaaap', 'lengan', 'berotot', 'https', 't', 'cowok', 'dojesw', 'jrq']"
A N K,@Speedtrap_ Emang ini yg sok agamais  tapi teroris punya hak apa ngomong ... Sampah2 ginian anggap aja taik,speedtrap memang ini yang sok agamais tapi teroris punya hak apa mengomong sampah beginian anggap saja tahi,1,"['speedtrap', 'memang', 'ini', 'yang', 'sok', 'agamais', 'tapi', 'teroris', 'punya', 'hak', 'apa', 'mengomong', 'sampah', 'beginian', 'anggap', 'saja', 'tahi']"
Nandan Atmadisastra 🇮🇩🇮🇩,"@RohmansahRoi @maspiyuaja Saya juga Islam.....dan berdoa mudah mudahan SEMUA TERORRIS DAN PENDUKUNG TERRORIS CEPET MODAR SEMUA.....!!!!!.

Aamiin Ya Allah Ya Rabb.....🤲🤲",rohmansahroi maspiyuaja saya juga islam dan berdoa mudah mudahan semua terorris dan pendukung terroris cepat modar semua amin ya allah ya rab tangan diangkat dan dirapatkan bersama tangan diangkat dan dirapatkan bersama,0,"['rohmansahroi', 'maspiyuaja', 'saya', 'juga', 'islam', 'dan', 'berdoa', 'mudah', 'mudahan', 'semua', 'terorris', 'dan', 'pendukung', 'terroris', 'cepat', 'modar', 'semua', 'amin', 'ya', 'allah', 'ya', 'rab', 'tangan', 'diangkat', 'dan', 'dirapatkan', 'bersama', 'tangan', 'diangkat', 'dan', 'dirapatkan', 'bersama']"
bisoa.,"MUi Layak di bubarkan.
Sarang teroris.. https://t.co/acvdFNSgR2",mui layak di bubarkan sarang teroris https t cowok acvdfnsgr ,0,"['mui', 'layak', 'di', 'bubarkan', 'sarang', 'teroris', 'https', 't', 'cowok', 'acvdfnsgr']"
FaithHopeLove,@BungkusTukang Surga bagi teroris sesungguhnya neraka dlm pemahaman org2 baik.,bungkustukang surga bagi teroris sesungguhnya neraka dalam pemahaman orang orang baik,0,"['bungkustukang', 'surga', 'bagi', 'teroris', 'sesungguhnya', 'neraka', 'dalam', 'pemahaman', 'orang', 'orang', 'baik']"
Mujito bewing,@CNNIndonesia Teroris KKB ga ada rencana kemah di Kalteng nih???,cnnindonesia teroris kkb enggak ada rencana kemah di kalteng nih,0,"['cnnindonesia', 'teroris', 'kkb', 'enggak', 'ada', 'rencana', 'kemah', 'di', 'kalteng', 'nih']"
🇮🇩 MARQUEZ 🇮🇩,@CINTANUSWANTARA @AnakLolina2 Teroris di tuntut 8 Penistaan Agama di tuntut 10 th hadeh @KejaksaanRI jaksanya doyan duwit.,cintanuswantara anaklolina teroris di tuntut penistaan agama di tuntut tahu hadeh kejaksaanri jaksanya doyan duwit,0,"['cintanuswantara', 'anaklolina', 'teroris', 'di', 'tuntut', 'penistaan', 'agama', 'di', 'tuntut', 'tahu', 'hadeh', 'kejaksaanri', 'jaksanya', 'doyan', 'duwit']"
Cak Henry,Dah ganti jubir teroris https://t.co/mcadXxZvZQ,deh ganti jubir teroris https t cowok mcadxxzvzq,0,"['deh', 'ganti', 'jubir', 'teroris', 'https', 't', 'cowok', 'mcadxxzvzq']"
Lolla Cantika,"@susukambinggg Semoga keputusannya nnt bebas
Dugaan teroris tdk terbukti",susukambing semoga keputusannya ti bebas dugaan teroris tidak terbukti,0,"['susukambing', 'semoga', 'keputusannya', 'ti', 'bebas', 'dugaan', 'teroris', 'tidak', 'terbukti']"
#RezimRadikal,"Bagaimana menurut @nahdlatululama?

Seperti ini yg kalian inginkan @BNPTRI sesama anak bangsa sudah saling menghina || Gegara narasi dan framing kalian ttg radikal, ekstrimis dan teroris selalu disematkan ke Muslim dan Islam.

Nanti ada yg bereaksi, kalian langsung cap Teroris https://t.co/haDdC8CZGW",bagaimana menurut nahdlatululama seperti ini yang kalian inginkan bnptri sesama anak bangsa sudah saling menghina gegara narasi dan framing kalian tentang radikal ekstrimis dan teroris selalu disematkan ke muslim dan islam ti ada yang bereaksi kalian langsung cap teroris https t cowok haddc czgw,0,"['bagaimana', 'menurut', 'nahdlatululama', 'seperti', 'ini', 'yang', 'kalian', 'inginkan', 'bnptri', 'sesama', 'anak', 'bangsa', 'sudah', 'saling', 'menghina', 'gegara', 'narasi', 'dan', 'framing', 'kalian', 'tentang', 'radikal', 'ekstrimis', 'dan', 'teroris', 'selalu', 'disematkan', 'ke', 'muslim', 'dan', 'islam', 'ti', 'ada', 'yang', 'bereaksi', 'kalian', 'langsung', 'cap', 'teroris', 'https', 't', 'cowok', 'haddc', 'czgw']"
